id,application_date,segment,case_count
1,2019-07-06,1,2517
2,2019-07-07,1,1754
3,2019-07-08,1,3678
4,2019-07-09,1,3070
5,2019-07-10,1,3474
6,2019-07-11,1,3180
7,2019-07-12,1,3181
8,2019-07-13,1,2510
9,2019-07-14,1,1747
10,2019-07-15,1,3671
11,2019-07-16,1,3063
12,2019-07-17,1,3467
13,2019-07-18,1,3173
14,2019-07-19,1,3175
15,2019-07-20,1,2504
16,2019-07-21,1,1740
17,2019-07-22,1,3664
18,2019-07-23,1,3056
19,2019-07-24,1,3460
20,2019-07-25,1,3166
21,2019-07-26,1,3168
22,2019-07-27,1,2497
23,2019-07-28,1,1733
24,2019-07-29,1,3657
25,2019-07-30,1,3049
26,2019-07-31,1,3453
27,2019-08-01,1,3159
28,2019-08-02,1,3161
29,2019-08-03,1,2490
30,2019-08-04,1,1727
31,2019-08-05,1,3651
32,2019-08-06,1,3043
33,2019-08-07,1,3446
34,2019-08-08,1,3153
35,2019-08-09,1,3154
36,2019-08-10,1,2483
37,2019-08-11,1,1720
38,2019-08-12,1,3644
39,2019-08-13,1,3036
40,2019-08-14,1,3440
41,2019-08-15,1,3146
42,2019-08-16,1,3148
43,2019-08-17,1,2476
44,2019-08-18,1,1713
45,2019-08-19,1,3637
46,2019-08-20,1,3029
47,2019-08-21,1,3433
48,2019-08-22,1,3139
49,2019-08-23,1,3141
50,2019-08-24,1,2470
51,2019-08-25,1,1706
52,2019-08-26,1,3630
53,2019-08-27,1,3022
54,2019-08-28,1,3426
55,2019-08-29,1,3132
56,2019-08-30,1,3134
57,2019-08-31,1,2463
58,2019-09-01,1,1700
59,2019-09-02,1,3623
60,2019-09-03,1,3015
61,2019-09-04,1,3419
62,2019-09-05,1,3125
63,2019-09-06,1,3127
64,2019-09-07,1,2456
65,2019-09-08,1,1693
66,2019-09-09,1,3617
67,2019-09-10,1,3009
68,2019-09-11,1,3413
69,2019-09-12,1,3119
70,2019-09-13,1,3120
71,2019-09-14,1,2449
72,2019-09-15,1,1686
73,2019-09-16,1,3610
74,2019-09-17,1,3002
75,2019-09-18,1,3406
76,2019-09-19,1,3112
77,2019-09-20,1,3114
78,2019-09-21,1,2442
79,2019-09-22,1,1679
80,2019-09-23,1,3603
81,2019-09-24,1,2995
82,2019-09-25,1,3399
83,2019-09-26,1,3105
84,2019-09-27,1,3107
85,2019-09-28,1,2436
86,2019-09-29,1,1672
87,2019-09-30,1,3596
88,2019-07-24,2,26447
89,2019-07-25,2,25611
90,2019-07-26,2,23400
91,2019-07-27,2,20145
92,2019-07-28,2,11612
93,2019-07-29,2,9085
94,2019-07-30,2,6175
95,2019-07-31,2,1222
96,2019-08-01,2,5087
97,2019-08-02,2,5210
98,2019-08-03,2,4083
99,2019-08-04,2,2701
100,2019-08-05,2,3208
101,2019-08-06,2,3122
102,2019-08-07,2,3021
103,2019-08-08,2,3284
104,2019-08-09,2,3549
105,2019-08-10,2,4148
106,2019-08-11,2,9118
107,2019-08-12,2,24840
108,2019-08-13,2,30844
109,2019-08-14,2,30347
110,2019-08-15,2,29099
111,2019-08-16,2,29075
112,2019-08-17,2,28313
113,2019-08-18,2,14245
114,2019-08-19,2,29596
115,2019-08-20,2,31083
116,2019-08-21,2,29551
117,2019-08-22,2,28415
118,2019-08-23,2,25846
119,2019-08-24,2,23742
120,2019-08-25,2,13045
121,2019-08-26,2,24602
122,2019-08-27,2,22386
123,2019-08-28,2,19260
124,2019-08-29,2,9982
125,2019-08-30,2,6184
126,2019-08-31,2,823
127,2019-09-01,2,3173
128,2019-09-02,2,4676
129,2019-09-03,2,4256
130,2019-09-04,2,4055
131,2019-09-05,2,3491
132,2019-09-06,2,3367
133,2019-09-07,2,3306
134,2019-09-08,2,3366
135,2019-09-09,2,3877
136,2019-09-10,2,5016
137,2019-09-11,2,17302
138,2019-09-12,2,24959
139,2019-09-13,2,28191
140,2019-09-14,2,26987
141,2019-09-15,2,13292
142,2019-09-16,2,29205
143,2019-09-17,2,30851
144,2019-09-18,2,30167
145,2019-09-19,2,29847
146,2019-09-20,2,28546
147,2019-09-21,2,26286
148,2019-09-22,2,13465
149,2019-09-23,2,26843
150,2019-09-24,2,26292
151,2019-09-25,2,25879
152,2019-09-26,2,24958
153,2019-09-27,2,21103
154,2019-09-28,2,16083
155,2019-09-29,2,5331
156,2019-09-30,2,1066
157,2019-10-01,2,4628
158,2019-10-02,2,4786
159,2019-10-03,2,4110
160,2019-10-04,2,3987
161,2019-10-05,2,3411
162,2019-10-06,2,2773
163,2019-10-07,2,3067
164,2019-10-08,2,3579
165,2019-10-09,2,4065
166,2019-10-10,2,5104
167,2019-10-11,2,17485
168,2019-10-12,2,22597
169,2019-10-13,2,13935
170,2019-10-14,2,28531
171,2019-10-15,2,28718
172,2019-10-16,2,28444
173,2019-10-17,2,24908
174,2019-10-18,2,23428
175,2019-10-19,2,23992
176,2019-10-20,2,13697
177,2019-10-21,2,28188
178,2019-10-22,2,29512
179,2019-10-23,2,28776
180,2019-10-24,2,26977
